Tweet	Task A 	Task B	Task C
@MSNBC @kwelkernbc I am 🤢 with having to hear that hag Conway! #VoteBlue2020 #DitchMitch2020 #VoteBlueToSaveAmerica #FlipTheSenate2020 #VoteBlueNoMatterWho2020 #Resist #FuckTrump #DoYourJobMitch #ResistTrump #TheResistance #Resistance #TraitorTrump #VoteBlueToSaveAmerica	HOF	HATE	TIN
@RepMattGaetz @realDonaldTrump #HappyJohnMcCainDay  🙌🏻🙌🏻💙💙🙌🏻💙🙌🏻🙌🏻🙌🏻     @RepMattGaetz  is a DRUNK AND   #TrumpIsATraitor	HOF	HATE	TIN
Sometimes, just sometimes, I wish I had the intelligence of a #MAGA't. That way these times would be filled with blissful ignorance as I support a man who lies to my face daily while working against me. Unfortunately I am not a fucking moron. So I see it. #FuckTrump https://t.co/NOL734kJPn	HOF	HATE	TIN
@realDonaldTrump Thanks for 'exposing' Jon Stewart as Jewish #bigot #douchebag	HOF	HATE	TIN
Once Upon a Time #Bangal was know by the name of  land of     ' RABINDRANATH TAGORE '     But now #Bangal has become a LAND of A Dictator &amp; psycho #MamtaBanerjee     she's Destroying the Culture &amp; Heritage of #WestBangal     #KolkataViolence  #DoctorsFightBack   #doctors_against_assualt https://t.co/Y3ShpXTBDX	HOF	HATE	TIN
Documented having spewed nearly 11,000 lies in 26 months. Honesty.🤣🤣🤣 #FuckTrump https://t.co/JY82Q7ZsRW	HOF	HATE	TIN
Happy John McCain day!!! @DonaldJTrumpJr @realDonaldTrump @robreiner @TheRickWilson @funder @dixon_dar @RWPUSA #ImpeachmentInquiry #CountryOverParty #TrumpIsATraitor #TrumpMustResign #TrumpTantrum #DerangedDonald #2020Elections https://t.co/eGxMfqB5hw	HOF	HATE	TIN
@realDonaldTrump @netanyahu Trump is functionally illiterate🤡. Does he know relatively few Jews vote Republican + few voted for HIM #TrumpHeights #GOPComplicit #TrumpIsANationalSecurityThreat #TrumpResignNow #VoteBlue #VoteBlueToEndThisNightmare #VoteBlueToSaveAmerica #Resisters #Resist #TrumpIsATraitor https://t.co/7qCkmoKUWT	HOF	HATE	TIN
@andylassner @realDonaldTrump #DoucheBag  @andylassner  day. That’s not a trend, that’s a fact.	HOF	HATE	TIN
I live in a world where it’s possible #borisjohnson could be prime minister and #donaldtrump is actually a president. What the fuck is going on 🤷🏾‍♂️ #MondayMorning #mondaythoughts #BorisJohnsonShouldNotBePM #worldcrisis #wtf #usa #uk https://t.co/6xUqiPgpm8	HOF	HATE	TIN
@WhiteHouse Deranged display of fake patriotism.     Meanwhile @senatemajldr and Dump sell the country behind close doors to highest bidders.     #FuckTrump https://t.co/OXSr9DVQrM	HOF	HATE	TIN
@andyhod66 Y does he look a twat least he stuck to his word , all he needs is the date underneath n it’s a memory of the night #dickhead	HOF	HATE	TIN
We don't need to check date of birth of  a #rapist   #India https://t.co/DLuTmDkMei	HOF	HATE	TIN
#Murderer @TheRealOJ32 has over 400K followers? That's is sick.	HOF	HATE	TIN
As I always said, the deals b/w Zameer Ahmed &amp; #IMAFraud Mansoor Khan is out, many other bigwigs are also part of this scam. I strongly demand the investigation to be handed over to CBI, which is the only ray of hope for the thousands of victims of #IMAJewelsScam. https://t.co/Rz51UNQ9Wa	HOF	HATE	TIN
The Orange Man-baby is Public Enemy Number One! When will his Moronic Supporters get well?     #TrumpIsATraitor #JohnMcCainDay #TrumpCrimeFamily #TrumpColluded #VetsResist https://t.co/Eh5wMGPF8f	HOF	HATE	TIN
@SumitkadeI @ICC Boycott ICC World Cup 2019 #shameonicc @ICC mean for international chutiyapa council	HOF	HATE	TIN
Can you support the March for Change on July 20?     March against Boris ..  https://t.co/BYGpdwQdJM    #BorisJohnsonShouldNotBePM  #BollocksToBoris   #BollockstoBrexit https://t.co/mPXTGQbta6	HOF	HATE	TIN
When even one of your closest allies can’t defend your reprehensible words. #TrumpIsATraitor #FakePresident https://t.co/bPXJZFRRBk	HOF	HATE	TIN
Zaghari-Ratcliffe’s husband 'resented Boris Johnson' https://t.co/T9EE7R4Jve #BorisJohnsonShouldNotBePM #FreeNazanin	HOF	HATE	TIN
#ICC you have ruined the tournament. Never ever try to organize it. Better take some management lessons from #BCCI.  #ShameOnICC #icc #CWC19 #RainStopsMatch https://t.co/UJS4EJpawt	HOF	HATE	TIN
That is how most people including me are feeling that today is that SOB Trump birthday lol. #mood #fucktrump #villageidiot #byefelicia https://t.co/2OR7VqvPFc	HOF	HATE	TIN
Trump's impeachment poll numbers highest since Nixon #Resist #ResistTrump #FuckTrump https://t.co/Lgj1EOYOf0	HOF	HATE	TIN
Pic 1:- Indian grounds pic 2:- Others grounds #ShameOnICC #INDvNZ #CWC19 @cricketaakash @sachin_rt @virendersehwag @AjitKum20724349 https://t.co/qZ0DEMlONz	HOF	HATE	TIN
I hope I live long enough to see @AOC be president. #AlexandriaOcasioCortez #MyCountryTisOfShe #fuckTrump #Trumpsucks	HOF	HATE	TIN
@realDonaldTrump Good riddance to that heffa she beast. #fucktrump	HOF	HATE	TIN
ICC Rain World Cup 😀😁😂🤣😭 #ShameOnICC #CWC19 #INDvNZ #FridayMotivation #NBAFinals @ImBhupenSingh19 @ICC @BCCI @cricketworldcup https://t.co/DNOFfJAlew	HOF	HATE	TIN
US embassies defy tRump administration's ban on Pride flags  @gaystarnews  https://t.co/Ru8xVZcB1K    #FucktRump #tRumpIsARacist	HOF	HATE	TIN
@here In a driverless future they won’t drive #dickhead	HOF	HATE	TIN
@n_o_27 @13ththirteen @NathanTribal @AbhiRajPandey @ANI Dekha 😂  It takes them less than a minute to drag 1984 and justify it. Innocent cop my foot. Same police was killing random Sikhs and brought mobs to do the killing spree in 1984.  #FuckDelhiPolice	HOF	HATE	TIN
IN #BREAKING WORLDWIDE #NEWS: DEVIL POSSESSED SEVENTH KINGDOM #SUICIDAL #MURDERER DONALD #TRUMP HAS BEEN FOUND GUILTY OF #MURDER AND HAS BEEN SENTENCED TO #DEATH! TRUMP HAS BEEN ORDERED TO TURN HIMSELF INTO THE LEGAL AUTHORITIES TO BE EXECUTED	HOF	HATE	TIN
ICC doesn't allow religious and political activities then WTF is this. Lt. col.Dhoni Wears Army insignia for Pride🇮🇳    #DhoniKeepsTheGlove https://t.co/LIyR5saFXl	HOF	HATE	TIN
@DestinDiarra @AstoriaRego @fitover35 @Ms_Catlin @OffMuteRKelly @SGcrimlaw @rkelly R. Kelly is a Child Molester and Sexual Predator #pedophile #chomo #rapist #prison #rkelly Lock R. Up!!	HOF	HATE	TIN
#ShameOnICC   Yeh World cup ho raha ki Baris ka World Cup kuch Samajh me Nehi Araha 👿👿👿👿🙏🙏🙏  #NewVideo link. . 👉https://t.co/UMVX2ISGp6    👉👉watch, like, subscribe &amp; Share https://t.co/QZjsY3jwYH	NOT	NONE	NONE
@realDonaldTrump Happy Birthday Traitor! #JohnMcCainDay #TrumpIsATraitor https://t.co/SOefDk6mRP	HOF	HATE	TIN
@TuttleNTexas @PeachDreaG @scrappy406 @hig68 @So4linda118 @Toot2006Sal @Quicklitning @shannon_crane @firedancergirl @kennysegway Thanks Tuttle. Honored beyond belief. #marchforimpeachment #FUCKtRump #FUCKTHEGOP	HOF	HATE	TIN
WARNING: FLASH Stupidity is never part of a solution, it is always part of a problem Stop treating #stupidity as equal #Hypocrisy #Hypocrites #TruthToPowerHour #Trump #TrumpResign #TrumpIsATraitor #TrumpRussia #TrumpCrimeSyndicate #ResistersForum #ResistanceUnited #BlueWave https://t.co/wLA7PXVeSG	HOF	HATE	TIN
Dear @ICC &amp; @ECB_cricket u have arranged such a big event @cricketworldcup   can u can't provide indoor stadiums for cricket or spend some money  to cover full ground so that as well as rain stop game can resume #ShameOnICC #AskStar @StarSportsIndia #CWC19 #RainStopsMatch @BCCI	HOF	HATE	TIN
@realDonaldTrump Because you knew NO ONE supported this stupid idea! #derangeddonald #billiondollarloser #trumpiscompromised #idiottrump	HOF	HATE	TIN
@matthewamiller Because there are no consequences to individual #1. He basically advertised for free on TV that he is open to foreign help. Case by case, using what criteria? 🤔 #TrumpIsACriminal #ImpeachDonaldTrumpNOW #TrumpIsATraitor	HOF	HATE	TIN
Watching the #LeadersDebate tonight I can see  #RoryStewart will appeal to disenfranchised Labour voters &amp; many now floating Remainers if he can fight his way through this scrum to the final 2. #BorisJohnsonShouldNotBePM	HOF	HATE	TIN
@Emmabarnett MPs who support a candidate with serial misbehaviour to be PM (#BorisJohnsonShouldNotBePM ) will face the music when they come for re-election. #BorisJohnson is the blankey blank candidate who can't be bothered to defend what he is suppose to stand for, so why back a blank brain?	HOF	HATE	TIN
Tombs of #EastTurkistan Republic's exiles who died in Japan.  https://t.co/FlnrqqvLuQ  #Uyghur #FreeUyghur #China #CCP #BoycottChina #ウイグル #RT	HOF	HATE	TIN
Proud of my fraternity! #Savethedoctors #DoctorsFightBack #DoctorsStrike #doctors_against_assualt #humanity https://t.co/7qDS6BkC5R	HOF	HATE	UNT
#Uyghur Protests in #Canada #Freedom for #Uyghurs https://t.co/4XyqwDLXvS #FreeUyghur #EastTurkistan #China #CCP #BoycottChina #ウイグル #RT	HOF	HATE	TIN
You need to learn to use #murderer on your tweets. Then we will be able to find you right away! https://t.co/1PgCW9Cnys	HOF	HATE	TIN
@Shehzad_Ind @RahulGandhi This is reality of punjab m also in punjab in amritsar Ares and here is always this problems where is @sherryontopp jo har relly mein chilllata tha #same   #Punjab   #CongressMukTBharat	HOF	HATE	TIN
There should be proper planning for the matches that have been washed out in the rain. One or two matches can be considered but when every match seems to be washed out then what should be said about ICC @ICC #CWC2019 #ShameOnICC	HOF	HATE	TIN
Opinion: How Trump is abandoning LGBTQ people over pride flags #Resist #ResistTrump #FuckTrump https://t.co/QASyeD3mLr	HOF	HATE	TIN
@ESPNcricinfo #worstCWC ever in cricket. Umpires , rain and now this . Domestic tournaments are organised better than this #CWC19 #ShameOnICC	HOF	HATE	TIN
And people wonder why the pillock didnt turn up? Here's the answer. He's an embarrassment. #BorisJohnsonShouldNotBePM https://t.co/wVeyL5hweN	HOF	HATE	TIN
All I’m saying is that when Obama was president we never lost to CANADA on basket ball #fucktrump #raptors https://t.co/su5g71J1aO #impeachthemotherfucker #warriors #releasethefullmuellerreport #robertmueller… https://t.co/CeopLkBZX2	HOF	HATE	TIN
So... he just admitted that recidivism is obviously another problem we’re going to face. #FuckTrump #ImpeachmentInquiryNow https://t.co/ehtJSWqHxY	HOF	HATE	TIN
Update after 5 hours in ER; diagnosed with spinal stenosis &amp; off to see a neurological specialist &amp; hopefully put an end to pain eventually!  Oh and #FuckTrump &amp; #HappyJohnMcCainDay2019	HOF	HATE	TIN
@JudgeJeanine @realDonaldTrump Nobody loves him who has principles #TrumpIsATraitor	NOT	NONE	NONE
@jontaffer I missed the last 15 minutes, but that guy was a #douchebag	NOT	NONE	NONE
@sudhirchaudhary, seems like #ICC is supporting Muslims 😂 I suggest Surgical strike on ICC. What is your suggestion on this? #WorldCup2019 #India #DhoniKeepsTheGlove #ICCVersusIndia #Pakistan https://t.co/rWWJx5XN42	HOF	HATE	TIN
@realDonaldTrump You’ll never win the election “fairly”.  You don’t know how to play fair.  That’s why you had Russia help you.  You’ve probability already talked to Putin about helping you this election. #TrumpIsATraitor #TrumpIsTheEnemyOfThePeople #TrumpIsAmericasHitler	NOT	NONE	NONE
@GOVTWINE Did he just get a new paint job...on his face?#TrumpIsATraitor	NOT	NONE	NONE
#China finds new ways to pressure #IdiotTrump amid trade impasse #TrumpTradeWar  https://t.co/bv2By0IfPV	NOT	NONE	NONE
@realDonaldTrump has a wicked small #micropenis. It's so small &amp; short he couldn't even bottom out in @IvankaTrump's belly button. #incestualpresident #trumphasamicropeen #micropeen #impeachtrump #fucktrump #hollaatyourdoctor #doctorninjadickersonMD	HOF	OFFN	TIN
The secret behind the game. #IndiaVsPakistan #terroristNationPakistan https://t.co/jdxN2VyO6x	HOF	HATE	TIN
How to become a  #MURDERER . @nofakefriends Gather here. https://t.co/VJVski3hLH	NOT	NONE	NONE
Okay, so here's the thing..if trump can hump the flag then burning it should be cool. In fact I hope the flags he has humped HAVE been burned. #flagburning #TrumpIsATraitor #ImpeachTrumpNow #ITMFA https://t.co/BZ3QKYvuZ7	NOT	NONE	NONE
@svdate @HuffPost Trump's not even hiding his white supremacist views anymore. Why? Because his sycophants adore him for it. And Republicans are spineless enablers. #FuckTrump	HOF	HATE	TIN
What an idiot. As If... 👇👇😂😂👌  #douchebag 🤡🤡#HonkHonk https://t.co/Do1VWs0Cdc	NOT	NONE	NONE
@NHLonNBCSports @NHLBruins Whatever. Dude still licks other players. #douchebag	NOT	NONE	NONE
#virginia has a racist governand #rapist lt governor both @TheDemocrats https://t.co/s39gdTQ1ll	NOT	NONE	NONE
These bunch of jokers have no vission, no mission, no dedication😰 #ICCWorldCup2019  #ICCCricketWorldCup #ShameOnICC	HOF	OFFN	TIN
@realDonaldTrump The US military is not briefing the Deranged Donald Trump on major cyber warfare operations against a hostile foreign power because they do not trust the president not to betray those operations to that hostile foreign power. #TrumpIsTheEnemyOfThePeople #TrumpIsATraitor #MAGA	NOT	NONE	NONE
IN #BREAKING WORLDWIDE #NEWS: DEVIL POSSESSED SEVENTH KINGDOM #SERIAL #PERVERT AND #SERIAL #MURDERER DONALD #TRUMP HAS BEEN ORDERED TO TURN HIMSELF INTO THE #LEGAL #AUTHORITIES TO BE EXECUTED FOR #TREASON AGAINST THE LORD GOD	NOT	NONE	NONE
The Trump administration is putting LGBTQ immigrants in solitary confinement #Resist #ResistTrump #FuckTrump https://t.co/UvexTzPcTb	HOF	HATE	TIN
@realDonaldTrump @LockheedMartin @Sikorsky And by that time you will hopefully be behind bars. #TrumpColluded #TrumpObstructed #IndictTrump #ImpeachmentInquiryNow #TrumpNatSecRisk #TrumpIsATraitor https://t.co/KFS6OTXc2a	NOT	NONE	NONE
661 Companies, Trade Associations Plead With ⁦@realDonaldTrump⁩ To End China #trumpTradeWar No Don’t Stop bc of 661 companies, #idiotTrump will use excuse for failed #tariffsMan #trump will say I almost have (not) the Chinese to change (nothing) Sad https://t.co/sMWxlhvipN	NOT	NONE	NONE
@realDonaldTrump You are a #FuckingMoron  #TrumpIsTheWorstPOTUSEver  #TrumpIsANationalSecurityRisk  #TrumpIsADisgrace  #TrumpIsATraitor   #TrumpIsAFraud   #TrumpIsACriminal  #TrumpForPrison2020	HOF	HATE	TIN
@FaceTheNation @SecPompeo @realDonaldTrump Complete BULLSH*T! Stop insulting our intelligence! Call #LyingPompeo out! @margbrennan #TrumpIsATraitor #PutinsPuppet #AntiPresident who betray our country and his oath of office #ImpeachNow	NOT	NONE	NONE
I am very disappointed in @CNN for having a #rapist like Jim @Acosta still working for them. He 'allegedly' raped a woman in college, and they ignore it. Typical liberals. 'Do as I say not as I do' and 'nothing to see here'	NOT	NONE	NONE
@SpeakerPelosi @realDonaldTrump Then DO SOMETHING it is time to impeach the traitor - criminal. By doing nothing you are an accomplice to the destruction of our democracy! #ImpeachDonaldTrumpNOW #ImpeachTrump #TrumpIsATraitor #TrumpCrimeFamily	HOF	HATE	TIN
@CNN Way to try and normalize that nasty bunch of grifters I don’t care do you? #fucktrump #fuckmelanie “it” Can’t wait for them to leave the people’s house.	NOT	NONE	NONE
@artporns . @BryanCranston is just a tired Leftist made rich by exploiting violence and glamorizing misery (and smoking). #Douchebag	HOF	OFFN	TIN
@realDonaldTrump This is a load of #bullshit! Your supporters are NOT smart...cause they still support YOU! And this is NOT your approval rating! #LIES #STFU #POSPOTUS #FuckTrump	HOF	HATE	TIN
Now available - one hand written, hand signed letter and envelope set by convicted serial killer Jeffrey Dahmer. https://t.co/JxWMibCxsP #dahmer #occult #artemmortis #serialkiller #murderer #witchcraft https://t.co/lro9HxDwP7	NOT	NONE	NONE
You changed your name for an idiot. Think on that. #FUCKtRump #FUCKTheGOP GOP = Guardians of Putin https://t.co/4TYbWzB669	HOF	HATE	TIN
Worst world cup series ever had. #icc never ever try to organize world cup series again.   #ShameOnICC #icc #CWC19 #RainStopsMatch https://t.co/pcHLFVh2lP	HOF	HATE	TIN
@Thomas1774Paine @BetoORourke If you win?? You’re not even going to make the debates, you little zero percenter, you...#Douchebag	HOF	HATE	TIN
@realDonaldTrump @USArmy @realDonaldTrump And YOU had NOTHING to do with it! If they're so great, why do you keep selling us out to #NorthKorea and #Russia? Oh, right. Because #TrumpIsATraitor.	HOF	OFFN	TIN
@realDonaldTrump As we approach The 75th Anniversary of D-Day, we have a #FatOrangeFuck #DraftDodger #Treasonous #AmericaAbuser #Rascist #Fascist #Nazi #Terrorist who plays golf with all of our tax money #102Milllion... Just remember #America this is what this #douchebag is doing with our dollars https://t.co/TjQrA6VIx4	HOF	HATE	TIN
Our narcissistic president is an embarrassment as a human being, yet he represents America. I am ashamed! His interview on ABC was unbearable to watch. Lies, lies and more lies. He can’t even show respect by looking at people that he is talking to. #douchebag https://t.co/uCioplXtUh	HOF	HATE	TIN
I'd blame it on autocorrect.    Every time I type in the word '#Trump' it replaces it with '#dickhead' so it does get it right sometimes https://t.co/8ePB3aMt95	HOF	HATE	TIN
Bojo is a dessembler extraordinaire , call him on his lies ! #BorisJohnsonShouldNotBePM #borisisaliar #borisbehindbars https://t.co/XrsJTwsv7u	NOT	NONE	NONE
#etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt https://t.co/cFqiGN6kbT #clothing #shirt #streetwear #trump #impeach #treason #traitor #fucktrump #impeachtrump #taxday https://t.co/i1hJPvIEkc	NOT	NONE	NONE
Worst World Cup Ever 2019 !! @ICC #ShameOnICC #WC2019	HOF	HATE	TIN
@realDonaldTrump If anyone has committed Treason, it's you #TreasonousTrump!!! #CriminalInChief #TrumpIsACriminal #TrumpisaDisgrace #TrumpIsATraitor #TrumpIsAFraud #TrumpIsAMoron #impeachtrump rally #TreasonousTrump https://t.co/8PDPww1vnV	HOF	OFFN	TIN
@JessieJaneDuff Killary is a damn criminal and a Jack the Ripper! #Murderer	HOF	OFFN	TIN
The likes of Donald Trump, Mitch McConnell and Lindsey Graham are the lowest form of life and they are raping this country and trying to destroy democracy they must be stopped!  #TrumpIsATraitor #mitchmustgo #LindseyTheTraitor #LindseyTheLapdog	NOT	NONE	NONE
@pattymphd @BrianB7734 @JeffreyGuterman @realDonaldTrump It’s in a troll hole. Russia is a shithole that’s going to be in a world of hurt in January 20, 2021. #FuckTrump #FuckPutin	HOF	HATE	TIN
Analysis: Trump lies more often than you wash your hands #Resist #ResistTrump #FuckTrump https://t.co/Hy6q5qI773	NOT	NONE	NONE
Chal hatt #Rapist supporter BJP KA DALAL https://t.co/zZv7ud1h4G	HOF	OFFN	UNT
Arrogance, fear, knowledge that he is an embarrassment when the reins are off and the carers can't control him. #fearty #WheresBoris #BorisJohnsonShouldNotBePM https://t.co/kzfZ81ODRL	NOT	NONE	NONE
@LindseyGrahamSC @hughhewitt We get it — you’ve given out the talking point that the prez is not bad - the Steele dossier was the same thing. It wasn’t, you know it—but it’s the only thing you can say - the President is a traitor which you also know but you and McConnell are in to deep. #TrumpIsATraitor	NOT	NONE	NONE
@realDonaldTrump Donnie Dementia is weak, ignorant and easily manipulated. The world us watching and laughing at America. #DonTheCon #FuckTrump	HOF	OFFN	TIN
Sheeple. Clowns always have a crew. #FuckTrump https://t.co/9hKmPTxw0w	NOT	NONE	NONE
No freedom of press in us anymore, death sentence for the chef of WikiLeaks, and that's only one thing. SHAME ON EVERYBODY WHO VOTES FOR TRUMP. Forreal who would vote for somebody like him after informing themselves for just 5 minutes #dontvotetrump #fucktrump #scandal	NOT	NONE	NONE
Mohamed bin Salaam - #murderer, #liar.    Iranian Clerics - #murderers, #liars    Donald J. Trump - defends murderers, infamous #grifter, habitual liar, #cheater, #thief.     See the problem?	HOF	OFFN	TIN
@jasminkorat @ICC @Dream11 England cricket board bribed the @ICC and got their matches scheduled on a clear day. Of course with technology @ICC could have checked the forecast and planned the stadiums and days according. England cricket wanna win their maiden cup at home. Loser country and #ShameOnICC	HOF	OFFN	UNT
@GrassrootsSpeak Pompeo is distracting and lying to shift attention away from trump and his crime family! #Resist #VoteBlue #ImpeachTheMF #trumpisaloser #FuckTrump	NOT	NONE	NONE
@askjillian F that MF 😠 #Murderer	HOF	HATE	UNT
#ShameOnICC that too Big shame	NOT	NONE	NONE
#DhoniKeepsTheGlove bcci are bunch of useless fat cats. Incapable of anything.	NOT	NONE	NONE
@GOP @realDonaldTrump @pnjaban The Orange Dotard can't even spell diplomacy. The only things he's killing are truth, the environment, the rule of law, the economy, the GOP, and America's world standing! #FuckTrump #FuckTheGOP	HOF	OFFN	TIN
Disgusting 🤢 #BorisJohnsonShouldNotBePM https://t.co/n3Q004L4HL	NOT	NONE	NONE
@mitchellvii @gatewaypundit @MittRomney is a pathetic #Douchebag  The sooner he voted out the better	HOF	HATE	TIN
Trump can't help but lie, even when the original lie was found to be a lie and verified a lie by others he'll stick with the lie. It's his world and his lies and his bubble. #FuckTrump https://t.co/fJj7ZbAH1e	NOT	NONE	NONE
Yeh sirf meeting me jane k lie humne pradhamntri chuna hai yaa kuch action b lenge aap #DoctorsFightBack #Savethedoctors How shameless is bjp that it cnt even save its own karyakarta...  Thik thaa congress tha.  Itnaaa violence toh nhi hota tha..  @BJP4India	NOT	NONE	NONE
@realDonaldTrump You will never be re-elected #Racist #DraftDodger #MoneyLaunderer #Rapist #Grifter #BillionDollarLoser #Fatso #PussyGrabber #LiarInChief #Traitor #DementedDonald #IndictmentsAreComing #ImpeachDonaldTrump https://t.co/9qiJe7JMJq	HOF	OFFN	TIN
@realDonaldTrump How about IMPEACHMENT and Birthday in jail. More fitting. Make America Happy Again.! #FUCKTRUMP #IMPEACHTRUMP #PUTINSBITCH https://t.co/NBYTXcGLHp	HOF	OFFN	TIN
@samstein @woodruffbets That is 100% BULLSHIT! #FuckTrump #Truth #Resist	NOT	NONE	NONE
@TheRealOJ32 I thought this POS was in jail still? Hope he ends up broke and alone! #Murderer #PutHimBackinPrisonPlease	NOT	NONE	NONE
#MeaCulpa. #MyBad. I’m the #DoucheBag. Bad day and took it out on @FOXSports and @DIRECTV. #RainDelay should look at the scroll! You know, read before you leap. My apologies. I’m a #JERK.	HOF	HATE	TIN
@ICC don't keep on bullshitting every complain coming your way...this is most wrost WC ever that has been conducted.   #wrostscheduling  #moreworseumpiring  #moremoreworseignoringthecomplains  #ShameOnICC	NOT	NONE	NONE
@The_OJSimpson32 You are a murderer. We will NEVER forget. You will get your justice when you meet your maker. #MURDERER #NicoleBrownSimpson	NOT	NONE	NONE
Dear World,  Meet @BorisJohnson.  Cowardice personified  A fraud  Like the man behind the curtain  In the Wizard of Oz  A master of manipulation, lies and deceit  May his grasp on @10DowningStreet be short-lived  @Number10cat deserves better  We all do.    #BorisJohnsonShouldNotBePM https://t.co/Uq66f6vwU5	HOF	OFFN	TIN
Man, it really wouldn't be the worst thing if this traitor dropped dead anytime now. #FuckTrump https://t.co/57UjXS8bcv	NOT	NONE	NONE
@ShaneHelmsCom I sat and laughed at least five minutes. You gotta call that move the #Twister because it’s not PC to call it the #Dickhead. Also, the latter wouldn’t fit #theHurricane!!	HOF	HATE	UNT
@itsJeffTiedrich @realDonaldTrump In honour of #pride, truck fump!! https://t.co/olA7vRtsAk    #Pride2019 #fucktrump #mug #coffee #lgbtq #impeachtrumpnow #impeachdonaldtrump #coffeemug	NOT	NONE	NONE
@Tking314 That’s a whole ass chicken #murderer	HOF	HATE	TIN
@ICC - Islamic Cricket Council #DhoniKeepsTheGlove #ICCVersusIndia	HOF	HATE	TIN
#FUCKTRUMP  YOU ARE A STAIN ON THIS COUNTRY'S HISTORY.  YOU SHOULD BE ASHAMED OF YOURSELF AND YOUR ADMINISTRATION.	HOF	OFFN	TIN
#etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt https://t.co/cFqiGN6kbT #clothing #shirt #streetwear #trump #impeach #treason #traitor #fucktrump #impeachtrump https://t.co/7jcgnOIpQS	NOT	NONE	NONE
@realDonaldTrump happy birthday  hope you enjoy your day !   Because this is going to be your last as a Free Man ..  #TrumpIsATraitor  Jail time is waiting for you !  #LockHimUp	NOT	NONE	NONE
@congressdotgov, @realDonaldTrump IS the foreign threat. He plainly stated he’ll choose foreign adversaries over democracy “because why not”. You have a sworn oath to defend the republic. IMPEACH HIM. DO IT NOW. #ImpeachDonaldTrumpNOW #TrumpIsATraitor https://t.co/gaBSxcBHdo	NOT	NONE	NONE
@brownc555 @rkelly R. Kelly is a Child Molester and Sexual Predator #pedophile #chomo #rapist #prison #rkelly Lock R. Up!!	HOF	OFFN	TIN
@digitalhen BoJo the COWARDLY Clown! It's heartbreaking to see the UK disintegrate into a joke country! 😭 #BorisJohnsonShouldNotBePM #BrexitShambles	NOT	NONE	NONE
Trump is the Prince of Hippos.     #fucktrump	NOT	NONE	NONE
Those that deal in the superficial #NarcissisticPersonalityDisorder will ALWAYS be easily conned by Psychopaths. @realDonaldTrump is an idiot. Definitely being played. Isn’t the US lucky? #FuckTrump https://t.co/uzMeyyR43l	NOT	NONE	NONE
#PHIvsATL why does Gabe Kapler look like he just needs a good ass whipping? #douchebag	HOF	HATE	TIN
@BethRigby @RoryStewartUK He’s a #dickhead	HOF	HATE	TIN
Repellent, chaotic and a serial liar, Boris Johnson would be a catastrophic prime minister https://t.co/jY4NIdsyAG  #BorisJohnsonShouldNotBePM	HOF	OFFN	TIN
Isn't this about a bitch? @realDonaldTrump is a #Traitor sho WILL try to start a war with Iran. It's very simple. There are no boundaries, no step to far or throat ge won't crush to keep that title. #ImpeachTrumpNow #Breaking #TrumpIsATraitor #ImpeachmentInquiryNow https://t.co/6OXFLip4WV	HOF	HATE	TIN
Water is wet - Republicans are homophobes  #MikePence #FuckTrump #Trump2020 #MAGA #homophobia #homophobes https://t.co/VJjcv5aHO0	HOF	OFFN	TIN
@kylegriffin1 @JoyAnnReid Don’t you love dumb people, you can manipulate them anywhere you want. #FuckTrump #Trumpsbrockenpromises #ImpeachDonaldTrumpNOW	HOF	OFFN	TIN
@realDonaldTrump WHEN YOU SAY 'ALMOST EVERYTHING' they are saying is the opposite YOUR ARGUMENT FAILS YOU SOUND LIKE THE VILLAGE IDIOT #IdiotTrump #TrumpTheVillageIdiot	NOT	NONE	NONE
@Bhargavi44 Yeah right.Zampa’s bowling has been sooo incredible in this game I personally thought he’s just spending too much energy playing with his nuts! Look forward to your ongoing conspiracies every time a player puts his hand in his pocket for the rest of the tournament!😂#dickhead	HOF	OFFN	TIN
#michaelhosang #rapist #sleazebag, catch him and hang him by the #balls.  https://t.co/YSgeLcREDP	HOF	OFFN	TIN
My cousin is a fucking dumbass, she brought her kid to a family lunch who spread his gastro around the whole fam but thinks it was food poisoning!! YOU CANT FUCKING CATCH FOOD POISONING DICKHEAD 😡🤦‍♀️😂 #dumbshit #dickhead #gobacktoschool	HOF	HATE	TIN
Decisive response should be to bomb MBS #murderer #liar https://t.co/68hC9HOAEY	HOF	HATE	TIN
@realDonaldTrump W/thoughts like what this fraudulent @POTUS uttered indicates his desire to be #DictatorTrump WAKE UP America, this will not happen on our watch. Vote this bastard out via the biggest #BlueWave2020 ever! #TrumpIsATraitor https://t.co/JoWVXowgEw	NOT	NONE	NONE
We wait for 5 Years to watch this Shit!   5 Matches abandoned without a ball bowled, don't you feel ashamed of your planning @ICC?   #ENGvWI #ShameonICC   I feel sad for #SriLanka as they missed 2 chances because of you.   Please Order Chullu Bhar Paani from Amazon.	NOT	NONE	NONE
@hodgetwins @imgoodemike God this guy is #douchebag ...	HOF	OFFN	TIN
@KateBennett_DC @FLOTUS @CNN I hope you expose her for the racist, fascist-enabling, Slovenian prostitute she is. #fucktrump #bebestmyass	HOF	HATE	TIN
